name,affiliation
David Rossiter,HKUST
David S. Doermann,University at Buffalo
David S. Rosenblum,National University of Singapore
David S. Wishart,University of Alberta
David Sarne,Bar-Ilan University
David Schlangen,Bielefeld University
David Schwartz,Rochester Institute of Technology
David Scott,Northern Arizona University
David Scuse,University of Manitoba
David Smahel,Masaryk University
David Sontag,Massachusetts Institute of Technology
David Squire,Monash University
David Starobinski,Boston University
David Steurer,ETH Zurich
David Stotts,University of North Carolina
David Streader,Victoria University of Wellington
David Sturgill,North Carolina State University
David Suter,University of Adelaide
David Svoboda,Masaryk University
David T. Blaauw,University of Michigan
David Taniar,Monash University
David Toman,University of Waterloo
David V. Mason,Ryerson University
David Van Horn,University of Maryland - College Park
David W. Albrecht,Monash University
David W. Chadwick,University of Kent
David W. Jacobs,University of Maryland - College Park
David W. Juedes,Ohio University
David W. Petr,University of Kansas
David Walker,Princeton University
David Welch,University of Auckland
David Wentzlaff,Princeton University
David Windridge,Middlesex University
David Wingate,Brigham Young University
David Wishart,University of Alberta
David Yarowsky,Johns Hopkins University
David Yau,SUTD
David Zuckerman,University of Texas at Austin
Davide Bacciu,University of Pisa
Davide Balzarotti,EURECOM
Davide Careglio,Polytechnic University of Catalonia
Davide Fossati,Emory University
Davide Martinenghi,Politecnico di Milano
Davide Mottin,Aarhus University
Davide Scaramuzza,University of Zurich
Davood Rafiei,University of Alberta
Davor Svetinovic,Masdar Institute
Dawei Jiang,Zhejiang University
Dawei Li,University of Vermont
Dawn MacIsaac,University of New Brunswick
Dawn Song,University of California - Berkeley
Dawn T. MacIsaac,University of New Brunswick
Dawn Xiaodong Song,University of California - Berkeley
Dawson R. Engler,Stanford University
Dawu Gu,Shanghai Jiao Tong University
DeLiang L. Wang,Ohio State University
DeLiang Wang,Ohio State University
Dean C. Barratt,University College London
Dean Hendrix,Auburn University
Dean M. Tullsen,University of California - San Diego
Dean Mohamedally,University College London
Dean Pemberton,Victoria University of Wellington
Debabrata Das,IIIT Bangalore
Debajyoti Bera,IIIT Delhi
Debarka Sengupta,IIIT Delhi
Debasis Samanta,IIT Kharagpur
Debbie Leung,University of Waterloo
Debbie W. Leung,University of Waterloo
Debdeep Mukhopadhyay,IIT Kharagpur
Debi Prosad Dogra,IIT Bhubaneswar
Debin Gao,Singapore Management University
Debin Zhao,Harbin Institute of Technology
Debmalya Panigrahi,Duke University
Deborah Estrin,Cornell University
Deborah G. Tatar,Virginia Tech
Deborah Joseph,University of Wisconsin - Madison
Deborah Stacey,University of Guelph
Deborah Tatar,Virginia Tech
Debra J. Richardson,University of California - Irvine
Deepak B. Phatak,IIT Bombay
Deepak D'Souza,IISc Bangalore
Deepak Ganesan,University of Massachusetts Amherst
Deepak Garg 0001,Max Planck Institute
Deepak K. Ghodgaonkar,DAIICT
Deepak Kapur,University of New Mexico
Deepak Khemani,IIT Madras
Deepanjan Kesh,IIT Guwahati
Deeparnab Chakrabarty,Dartmouth College
Deepinder Sidhu,Univ. of Maryland - Baltimore County
Deepti R. Bathula,IIT Ropar
Deepu Rajan,Nanyang Technological University
Deh Cac Can,Ecole Normale Superieure
Deian Stefan,University of California - San Diego
Dejan Milutinovic,University of California - Santa Cruz
Dejing Dou,University of Oregon
Dejun Yang,Colorado School of Mines
Dekai Wu,HKUST
Delaram Kahrobaei,CUNY
Delbert Willie,Northern Arizona University
Delfina Malandrino,University of Salerno
Deliang Fan,University of Central Florida
Demetri Terzopoulos,University of California - Los Angeles
Demetrios Achlioptas,University of California - Santa Cruz
Deming Chen,Univ. of Illinois at Urbana-Champaign
Demosthenis Teneketzis,University of Michigan
Deng Cai,Zhejiang University
Deng Pan,Florida International University
Denilson Barbosa,University of Alberta
Denis Deratani Mauá,USP
Denis F. Wolf,USP-ICMC
Denis Fernando Wolf,USP-ICMC
Denis Gracanin,Virginia Tech
Denis Hamelin,Ryerson University
Denis Kuperberg,Ecole Normale Superieure de Lyon
Denis Nikitenko,University of Guelph
Denis Thérien,McGill University
Denis Zampuniéris,University of Luxembourg
Denis Zorin,New York University
Denise Gorse,University College London
Denise Guliato,UFU
Denise M. Woit,Ryerson University
Deniz Turgay Altilar,Istanbul Technical University
Deniz Yuret,Koç University
Dennis E. Shasha,New York University
Dennis Elliot Shasha,New York University
Dennis G. Kafura,Virginia Tech
Dennis M. Volpano,Naval Postgraduate School
Dennis McLeod,University of Southern California
Dennis R. Bahler,North Carolina State University
Dennis Shasha,New York University
Denys Poshyvanyk,College of William and Mary
Deokgun Park,University of Texas at Arlington
Depei Qian,Beihang University
Depeng Li,University of Hawaii at Manoa
Der-Chen Chang,Georgetown University
Derek Aguiar,University of Connecticut
Derek Dreyer,Max Planck Institute
Derek Eager,University of Saskatchewan
Derek F. Reilly,Dalhousie University
Derek G. Corneil,University of Toronto
Derek Gordon Corneil,University of Toronto
Derek Hoiem,Univ. of Illinois at Urbana-Champaign
Derek Nowrouzezahrai,McGill University
Derek Rayside,University of Waterloo
Derek Reilly,Dalhousie University
Derek Ruths,McGill University
Deren Chen,Zhejiang University
Derick Wood,HKUST
Derry Wijaya,Boston University
Desh Ranjan,Old Dominion University
Desheng Zhang,Rutgers University
Deshun Yang,Peking University
Desmond Elliott,University of Copenhagen
Despina Michael,Cyprus University of Technology
Deuk Heo,Washington State University
Deva Ramanan,Carnegie Mellon University
Devavrat Shah,Massachusetts Institute of Technology
Devi Parikh,Georgia Institute of Technology
Devika Subramanian,Rice University
Devin J. Balkcom,Dartmouth College
Devorah Kletenik,CUNY
Dexter Campbell Kozen,Cornell University
Dexter Kozen,Cornell University
Dezhen Song,Texas A&M University
Dhabaleswar K. Panda,Ohio State University
Dhananjay M. Dhamdhere,IIT Bombay
Dhananjay Phatak,Univ. of Maryland - Baltimore County
Dharanipragada Janakiram,IIT Madras
Dhaval Patel,IIT Roorkee
Dheeraj Sanghi,IIT Kanpur
Dhrubajyoti Goswami,Concordia University
Dhruv Batra,Georgia Institute of Technology
Di Huang 0001,Beihang University
Diana F. Adamatti,FURG Federal University of Rio Grande
Diana Francisca Adamatti,FURG Federal University of Rio Grande
Diana Inkpen,University of Ottawa
Diana Marculescu,Carnegie Mellon University
Diana Zaiu Inkpen,University of Ottawa
Diane Horton,University of Toronto
Diane J. Cook,Washington State University
Diane J. Litman,University of Pittsburgh
Diane Joyce Cook,Washington State University
Diane L. Souvaine,Tufts University
Dianfu Ma,Beihang University
Dianxiang Xu,Boise State University
Dick H. J. Epema,TU Delft
Didem Unat,Koç University
Diego F. Aranha,UNICAMP
Diego Fernández Slezak,University of Buenos Aires
Diego Garbervetsky,University of Buenos Aires
Diego Martinez Plasencia,University of Sussex
Diego Martínez 0001,University of Sussex
Diego Perez Liebana,Queen Mary University of London
Diego R. Amancio,USP-ICMC
Dieter Kranzlmüller,LMU Munich
Dieter Otte,Northern Arizona University
Dieter Roller 0002,University of Stuttgart
Dieter W. Fellner,TU Darmstadt
Dieter Zoebel,University of Koblenz-Landau
Dieter Zöbel,University of Koblenz-Landau
Dieter van Melkebeek,University of Wisconsin - Madison
Dietmar Berwanger,Ecole Normale Superieure de Cachan
Dietmar Pfahl,University of Tartu
Dietmar Saupe,University of Konstanz
Dietrich Paulus,University of Koblenz-Landau
Diganta Goswami,IIT Guwahati
Dik Lun Lee,HKUST
Dilian Gurov,KTH Royal Institute of Technology
Dilip P. Patil,IISc Bangalore
Dilip Sarkar,University of Miami
Dilma Da Silva,Texas A&M University
Dilma M. Da Silva,Texas A&M University
Dilvan A. Moreira,USP-ICMC
Dilvan de Abreu Moreira,USP-ICMC
Dima Alhadidi,University of New Brunswick
Dima Damen,University of Bristol
Dimitri Theodoratos,NJIT
Dimitri Van De Ville,EPFL
Dimitrios Damopoulos,Stevens Institute of Technology
Dimitrios Gunopulos,University of Athens
Dimitrios Koutsonikolas,University at Buffalo
Dimitrios Makrakis,University of Ottawa
Dimitrios P. Pezaros,University of Glasgow
Dimitrios Pezaros,University of Glasgow
Dimitrios Rafailidis,Maastricht University
Dimitris Achlioptas,University of California - Santa Cruz
Dimitris Gizopoulos,University of Athens
Dimitris Gritzalis,AUEB
Dimitris Makrakis,University of Ottawa
Dimitris N. Metaxas,Rutgers University
Dimitris Papadias,HKUST
Dimitris Papadopoulos,HKUST
Dimitris Papailiopoulos,University of Wisconsin - Madison
Dimitris Pezaros,University of Glasgow
Dimitris Plexousakis,University of Crete
Dimitris S. Papailiopoulos,University of Wisconsin - Madison
Dimitris Samaras,Stony Brook University
Dimitris Syvridis,University of Athens
Dimitris Varoutas,University of Athens
Dina Duhovny,Hebrew University of Jerusalem
Dina Katabi,Massachusetts Institute of Technology
Dina Schneidman-Duhovny,Hebrew University of Jerusalem
Dina Sokol,CUNY
Dinesh Babu J.,IIIT Bangalore
Dinesh Babu Jayagopi,IIIT Bangalore
Dinesh Garg,IIT Gandhinagar
Dinesh K. Pai,University of British Columbia
Dinesh Manocha,University of Maryland - College Park
Dinesh Mehta,Colorado School of Mines
Dinesh P. Mehta,Colorado School of Mines
Ding Ye,UNSW
Ding Yuan,University of Toronto
Ding-Zhu Du,University of Texas at Dallas
Dingfu Zhou,Australian National University
Dinggang Shen,University of North Carolina
Dinghao Wu,Pennsylvania State University
Dingsheng Luo,Peking University
Dino Mandrioli,Politecnico di Milano
Dino Pedreschi,University of Pisa
Dinusha Vatsalan,Australian National University
Diodato Ferraioli,University of Salerno
Dionysis Athanasopoulos,Victoria University of Wellington
Dipak Ghosal,University of California - Davis
Dipankar Nagchoudhuri,DAIICT
Dipankar Raychaudhuri,Rutgers University
Dipankar Sarkar,IIT Kharagpur
Dipanwita Roy Chowdhury,IIT Kharagpur
Dipti Misra Sharma,IIIT Hyderabad
Dirk Arnold,Dalhousie University
Dirk Beyer 0001,LMU Munich
Dirk Englund,Massachusetts Institute of Technology
Dirk Fahland,TU Eindhoven
Dirk Grunwald,University of Colorado Boulder
Dirk Hovy,University of Copenhagen
Dirk Nuyens,KU Leuven
Dirk Oliver Theis,University of Tartu
Dirk Pattinson,Australian National University
Dirk Pflüger,University of Stuttgart
Dirk Roose,KU Leuven
Dirk Slock,EURECOM
Dirk Van Gucht,Indiana University
Dit-Yan Yeung,HKUST
Dittaya Wanvarie,Chulalongkorn University
Divanilson Campelo,UFPE
Divanilson R. Campelo,UFPE
Divesh Aggarwal,National University of Singapore
Divy Agrawal,University of California - Santa Barbara
Divyakant Agrawal,University of California - Santa Barbara
Djordje Jevdjic,National University of Singapore
Dmitri Loguinov,Texas A&M University
Dmitry Evtyushkin,College of William and Mary
Dmitry Goldgof,University of South Florida
Dmitry Korkin,Worcester Polytechnic Institute
Dmitry Ponomarev,Binghamton University
Dmitry V. Ponomarev,Binghamton University
Doina Caragea,Kansas State University
Doina Precup,McGill University
Domenico Parente,University of Salerno
Domingo Giménez,University of Murcia
Dominic A. Orchard,University of Kent
Dominic Duggan,Stevens Institute of Technology
Dominik L. Michels,KAUST
Dominik Ludewig Michels,KAUST
Dominik Scheder,Shanghai Jiao Tong University
Dominik Slezak,University of Warsaw
Dominik Wojtczak,University of Liverpool
Dominique Chu,University of Kent
Dominique Unruh,University of Tartu
Don Cleland,Massey University
Don Jardine,Queen’s University
Don Perlis,University of Maryland - College Park
Don S. Batory,University of Texas at Austin
Don Sheehy,University of Connecticut
Don Towsley,University of Massachusetts Amherst
Donald Bailey,Massey University
Donald C. Wunsch,Missouri University of Technology
Donald C. Wunsch II,Missouri University of Technology
Donald E. Porter,University of North Carolina
Donald F. Towsley,University of Massachusetts Amherst
Donald G. Bailey,Massey University
Donald H. House,Clemson University
Donald Kossmann,ETH Zurich
Donald L. Bitzer,North Carolina State University
Donald Lawrence,University College London
Donald M. Chiarulli,University of Pittsburgh
Donald P. Greenberg,Cornell University
Donald Perlis,University of Maryland - College Park
Donald R. Sheehy,University of Connecticut
Donald S. Fussell,University of Texas at Austin
Donald S. Williamson,Indiana University
Donald Sannella,University of Edinburgh
Donald Sheehy,University of Connecticut
Donald Yeung,University of Maryland - College Park
Donatella Sciuto,Politecnico di Milano
Donatello Conte,University of Salerno
Donatello Materassi,University of Tennessee
Dong Deng,Rutgers University
Dong Jin,Illinois Institute of Technology
Dong Seong Kim,University of Canterbury
Dong Soo Han,KAIST
Dong Tong 0001,Peking University
Dong Wang 0002,University of Notre Dame
Dong Xiang,Tsinghua University
Dong Xuan,Ohio State University
Dong-Guk Shin,University of Connecticut
Dongfang Zhao,University of Nevada
Donggang Cao,Peking University
Donghoon Chang,IIIT Delhi
Donghui Wang,Zhejiang University
Dongman Lee,KAIST
Dongming Lu,Zhejiang University
Dongsu Han,KAIST
Dongwoo Kim,Australian National University
Dongwook Yoon,University of British Columbia
Dongxiang Zhang,UESTC
Dongxiao Zhu,Wayne State University
Dongyan Xu,Purdue University
Dongyan Zhao,Peking University
Dongyoon Lee,Virginia Tech
Donna Cox,Univ. of Illinois at Urbana-Champaign
Donna J. Cox,Univ. of Illinois at Urbana-Champaign
Donna K. Slonim,Tufts University
Donna M. Rizzo,University of Vermont
Doo­Hwan Bae,KAIST
Dorgival O. Guedes,UFMG
Dorgival Olavo Guedes Neto,UFMG
Dorian Arnold,Emory University
Dorian C. Arnold,Emory University
Dorien Herremans,SUTD
Dorit Aharonov,Hebrew University of Jerusalem
Dorit Merhof,RWTH Aachen
Doron A. Peled,Bar-Ilan University
Doron Drusinsky,Naval Postgraduate School
Doron Nussbaum,Carleton University
Doron Peled,Bar-Ilan University
Dorothea Blostein,Queen’s University
Dorsa Sadigh,Stanford University
Doug A. Bowman,Virginia Tech
Doug Downey,Northwestern University
Doug L. James,Stanford University
Douglas B. Armstrong,University of Edinburgh
Douglas C. Schmidt,Vanderbilt University
Douglas C. Sicker,Carnegie Mellon University
Douglas Comer,Purdue University
Douglas D. Dankel II,University of Florida
Douglas E. Comer,Purdue University
Douglas Fisher,Vanderbilt University
Douglas G. Down,McMaster University
Douglas G. Howe,Carleton University
Douglas Guimarães Macharet,UFMG
Douglas Hofstadter,Indiana University
Douglas L. Maskell,Nanyang Technological University
Douglas Lawrence,Ohio University
Douglas Leslie Maskell,Nanyang Technological University
Douglas R. Stinson,University of Waterloo
Douglas S. Reeves,North Carolina State University
Douglas Stebila,University of Waterloo
Douglas Thain,University of Notre Dame
Douglas Troeger,CUNY
Douglas W. Jones,University of Iowa
Douglas W. Oard,University of Maryland - College Park
Douglas Wikström,KTH Royal Institute of Technology
Dov Dori,Technion
Dov Monderer,Technion
Dragan Gasevic,University of Edinburgh
Dragomir R. Radev,Yale University
Drew Bagnell,Carnegie Mellon University
Drew McDermott,Yale University
Drew V. McDermott,Yale University
Dror G. Feitelson,Hebrew University of Jerusalem
Dror Tobi,Ariel University
Du Q. Huynh,University of Western Australia
Duan-Shin Lee,National Tsing Hua University
Duane S. Boning,Massachusetts Institute of Technology
Duane Szafron,University of Alberta
Duanqing Xu,Zhejiang University
Duarte de Mesquita e Sousa,Universidade de Lisboa
Duc A. Tran,University of Massachusetts Boston
Duen Horng (Polo) Chau,Georgia Institute of Technology
Duen Horng Chau,Georgia Institute of Technology
Duminda Wijesekera,George Mason University
Duncan A. Buell,University of South Carolina
Duncan D. Ruiz,PUC-RS
Duncan Dubugras A. Ruiz,PUC-RS
Duncan Dubugras Alcoba Ruiz,PUC-RS
Duncan Fyfe Gillies,Imperial College London
Duncan Gillies,Imperial College London
Duncan M. Hank Walker,Texas A&M University
Duncan P. Brumby,University College London
Duong Hieu Phan,Ecole Normale Superieure
Durga Toshniwal,IIT Roorkee
Dusit Niyato,Nanyang Technological University
Dusko Pavlovic,University of Hawaii at Manoa
Dwight D. Egbert,University of Nevada
Dwight Deugo,Carleton University
Dwight Duffus,Emory University
Dwight Makaroff,University of Saskatchewan
Dylan A. Shell,Texas A&M University
Dylan Shell,Texas A&M University
Débora C. Muchaluat,UFF
Débora C. Muchaluat-Saade,UFF
Débora Christina Muchaluat-Saade,UFF
E. Allen Emerson,University of Texas at Austin
E. C. Xavier,UNICAMP
E. J. Yannakoudakis,AUEB
E. James Whitehead Jr.,University of California - Santa Cruz
E. N. Cáceres,UFMS
E. N. Elnozahy,KAUST
E. Pontelli,New Mexico State University
Eakta Jain,University of Florida
Eamonn J. Keogh,University of California - Riverside
Eamonn O'Neill,University of Bath
Earl Barr,University College London
Earl T. Barr,University College London
Ebroul Izquierdo,Queen Mary University of London
Ebru Akcapinar Sezer,Hacettepe University
Ebru Aydin Gol,Middle East Technical University
Ebubekir Avci,Massey University
Eck Doerry,Northern Arizona University
Ed Lazowska,University of Washington
Eddie Kohler,Harvard University
Eddy Caron,Ecole Normale Superieure de Lyon
Eddy Z. Zhang,Rutgers University
Eddy Zheng Zhang,Rutgers University
Edgar Gabriel,University of Houston
Edison Pignaton de Freitas,UFRGS
Edith Elkind,University of Oxford
Edith Hemaspaandra,Rochester Institute of Technology
Edith L. M. Law,University of Waterloo
Edith Law,University of Waterloo
Edith Spaan,Rochester Institute of Technology
Edmond Chow,Georgia Institute of Technology
Edmund H. Durfee,University of Michigan
Edmund M. Clarke,Carnegie Mellon University
Edmundo Albuquerque de Souza e Silva,UFRJ
Edmundo R. M. Madeira,UNICAMP
Edmundo Roberto Mauro Madeira,UNICAMP
Edmundo de Souza e Silva,UFRJ
Edoardo Biagioni,University of Hawaii at Manoa
Edoardo S. Biagioni,University of Hawaii at Manoa
Edoardo Serra,Boise State University
Edouard Bugnion,EPFL
Edson Borin,UNICAMP
Edson Cáceres,UFMS
Edson Norberto Cáceres,UFMS
Edson Prestes,UFRGS
Edson Prestes e Silva Jr.,UFRGS
Edson Takashi Matsubara,UFMS
Edson dos Santos Moreira,USP-ICMC
Eduard Ayguadé,Polytechnic University of Catalonia
Eduard Ayguadé Parra,Polytechnic University of Catalonia
Eduard C. Dragut,Temple University
Eduard Constantin Dragut,Temple University
Eduard H. Hovy,Carnegie Mellon University
Eduardo Blanco 0002,University of North Texas
Eduardo Bonelli,Stevens Institute of Technology
Eduardo C. Xavier,UNICAMP
Eduardo Candido Xavier,UNICAMP
Eduardo Cotilla Sanchez,Oregon State University
Eduardo Figueiredo,UFMG
Eduardo Magno Lages Figueiredo,UFMG
Eduardo Marques,USP-ICMC
Eduardo N. Borges,FURG Federal University of Rio Grande
Eduardo R. Hruschka,USP-ICMC
Eduardo Raul Hruschka,USP-ICMC
Eduardo Sany Laber,PUC-RIO
Eduardo Torres-Jara,Worcester Polytechnic Institute
Eduardo Velloso,University of Melbourne
Eduardo del Castillo-Sánchez,EPFL
Eduardo do Valle Simões,USP-ICMC
Edward A. Fox,Virginia Tech
Edward A. Lee,University of California - Berkeley
Edward Currie,Middlesex University
Edward D. Lazowska,University of Washington
Edward F. Gehringer,North Carolina State University
Edward Hermann Haeusler,PUC-RIO
Edward Holden,Rochester Institute of Technology
Edward John Briscoe,University of Cambridge
Edward K. Wong,New York University
Edward Lank,University of Waterloo
Edward M. Reingold,Illinois Institute of Technology
Edward Omiecinski,Georgia Institute of Technology
Edward Sciore,Boston College
Edward W. Felten,Princeton University
Edward W. Knightly,Rice University
Edwin B. Olson,University of Michigan
Edwin Olson,University of Michigan
Edwin V. Bonilla,UNSW
Ee-Chien Chang,National University of Singapore
Ee-Peng Lim,Singapore Management University
Eelco Visser,TU Delft
Eelke Folmer,University of Nevada
Eerke A. Boiten,University of Kent
Eero Hyvönen,Aalto University
Eero Vainikko,University of Tartu
Efstratios Viglas,University of Edinburgh
Eftichis Sifakis,University of Wisconsin - Madison
Eftychios Sifakis,University of Wisconsin - Madison
Egemen Tanin,University of Melbourne
Egon Boerger,University of Pisa
Ehab S. Elmallah,University of Alberta
Ehsan Elhamifar,Northeastern University
Ehud Rivlin,Technion
Ehud Sharlin,University of Calgary
Eibe Frank,University of Waikato
Eike Kiltz,Ruhr-University Bochum
Eileen Kraemer,Clemson University
Eilish O'Rourke,UNSW
Eisa Zarepour,UNSW
Eitan Grinspun,Columbia University
Eitan Yaakobi,Technion
Ekaterina Lebedeva,Australian National University
Elad Aigner-Horev,Ariel University
Elad Alon,University of California - Berkeley
Elad Hazan,Princeton University
Elaheh Bozorgzadeh,University of California - Irvine
Elaine Chew,Queen Mary University of London
Elaine Cohen,University of Utah
Elaine M. Huang,University of Zurich
Elaine May Huang,University of Zurich
Elaine P. M. de Sousa,USP-ICMC
Elaine Parros Machado de Sousa,USP-ICMC
Elaine R. Faria,UFU
Elaine Ribeiro de Faria,UFU
Elaine Runting Shi,Cornell University
Elaine Shi,Cornell University
Eldar Fischer,Technion
Eleanor O'Rourke,Northwestern University
Eleazar Eskin,University of California - Los Angeles
Elena Grigorescu,Purdue University
Elena L. Glassman,Harvard University
Elena Sherman,Boise State University
Elena Troubitsyna,KTH Royal Institute of Technology
Elena Zheleva,University of Illinois at Chicago
Eleni Stroulia,University of Alberta
Elf Eldridge,Victoria University of Wellington
Elfar Adalsteinsson,Massachusetts Institute of Technology
Elham Kashefi,University of Edinburgh
Eli Ben-Sasson,Technion
Eli Biham,Technion
Eli Blevis,Indiana University
Eli Bozorgzadeh,University of California - Irvine
Eli Gafni,University of California - Los Angeles
Eli Tilevich,Virginia Tech
Eli Upfal,Brown University
Eli Yablonovitch,University of California - Berkeley
Eliane Martins,UNICAMP
Elias Bareinboim,Purdue University
Elias Koutsoupias,University of Oxford
Elias S. Manolakos,University of Athens
Elif Mine Karsligil,Yıldız Technical University
Eliot Moss,University of Massachusetts Amherst
Elisa Bertino,Purdue University
Elisa Quintarelli,Politecnico di Milano
Elisa Yumi Nakagawa,USP-ICMC
Elisabeth Oswald,University of Bristol
Elisabetta Di Nitto,Politecnico di Milano
Elisha Sacks,Purdue University
Elissa Weeden,Rochester Institute of Technology
Elizabeth Bradley,University of Colorado Boulder
Elizabeth D. Mynatt,Georgia Institute of Technology
Elizabeth L. White,George Mason University
Elizabeth Lawley,Rochester Institute of Technology
Elizabeth M. Belding,University of California - Santa Barbara
Elizabeth M. Belding-Royer,University of California - Santa Barbara
Elizabeth M. Royer,University of California - Santa Barbara
Elizabeth O'Neil,University of Massachusetts Boston
Elizabeth R. Jessup,University of Colorado Boulder
Elizabeth Varki,University of New Hampshire
Eljas Soisalon-Soininen,Aalto University
Elke A. Rundensteiner,Worcester Polytechnic Institute
Ellen F. Barbosa,USP-ICMC
Ellen Francine Barbosa,USP-ICMC
Ellen Riloff,University of Utah
Ellen W. Zegura,Georgia Institute of Technology
Ellen Yi-Luen Do,University of Colorado Boulder
Ellie Pavlick,Brown University
Elliot Anshelevich,Rensselaer Polytechnic Institute
Elliot Soloway,University of Michigan
Ellis Horowitz,University of Southern California
Elmar Eder,University of Salzburg
Elmar Eisemann,TU Delft
Elmootazbellah (Mootaz) Elnozahy,KAUST
Ely Porat,Bar-Ilan University
Emad Sami Jaha,King Abdulaziz University
Emad Shihab,Concordia University
Emanuel Kieronski,University of Wroclaw
Emanuel Todorov,University of Washington
Emanuel da Silva Diaz Estrada,FURG Federal University of Rio Grande
Emanuele Della Valle,Politecnico di Milano
Emanuele Trucco,University of Dundee
Emanuele Viola,Northeastern University
Emerson R. Murphy-Hill,North Carolina State University
Emery Berger,University of Massachusetts Amherst
Emery D. Berger,University of Massachusetts Amherst
Emil C. Lupu,Imperial College London
Emil Constantine Lupu,Imperial College London
Emil Lupu,Imperial College London
Emil M. Petriu,University of Ottawa
Emil Sekerinski,McMaster University
Emiliano De Cristofaro,University College London
Emilie Morvant,Université Jean Monnet
Emily Hand,University of Nevada
Emily M. Hand,University of Nevada
Emily Mower,University of Michigan
Emily Mower Provost,University of Michigan
Emily Whiting,Boston University
Emin Gün Sirer,Cornell University
Emina Torlak,University of Washington
Emine Yilmaz,University College London
Emma Brunskill,Stanford University
Emma Frejinger,University of Montreal
Emmanouel A. Giakoumakis,AUEB
Emmanouil Benetos,Queen Mary University of London
Emmanuel Abbe,Princeton University
Emmanuel Agu,Worcester Polytechnic Institute
Emmanuel Beffara,Ecole Normale Superieure de Lyon
Emmanuel Filiot,Université libre de Bruxelles
Emmanuel J. Yannakoudakis,AUEB
Emmanuel Letier,University College London
Emmanuel O. Agu,Worcester Polytechnic Institute
Emmanuel Turner,University of Waikato
Emmett Witchel,University of Texas at Austin
Emo Todorov,University of Washington
Emo Welzl,ETH Zurich
Emre Akbas,Middle East Technical University
Emre Telatar,EPFL
Emre Ugur,Boğaziçi University
Endre Szemerédi,Rutgers University
Eng Siong Chng,Nanyang Technological University
Engin Arslan,University of Nevada
Engin Erzin,Koç University
Engin Ipek,University of Rochester
Engin Kirda,Northeastern University
Engsiong Chng,Nanyang Technological University
Enhong Chen,USTC
Eno Thereska,Imperial College London
Eno Tõnisson,University of Tartu
Enrico Bertini,New York University
Enrico Fischetti,University of Salerno
Enrico Pontelli,New Mexico State University
Enrico Scala,Australian National University
Enrique Carlos Segura,University of Buenos Aires
Enrique Carlos Segura Meccia,University of Buenos Aires
Enrique Dunn,Stevens Institute of Technology
Er-Chien Wang,Australian National University
Eran Halperin,University of California - Los Angeles
Eran Omri,Ariel University
Eran Tromer,Tel Aviv University
Eran Yahav,Technion
Erchin Serpedin,Texas A&M at Qatar
Erdinç Öztürk,Sabancı University
Erez Karpas,Technion
Erez Petrank,Technion
Erez Zadok,Stony Brook University
Ergun Akleman,Texas A&M University
Erhan Mengusoglu,Hacettepe University
Erhard Ploedereder,University of Stuttgart
Erhard Plödereder,University of Stuttgart
Eric A. Brewer,University of California - Berkeley
Eric A. Martin,UNSW
Eric Allender,Rutgers University
Eric Andre Martin,UNSW
Eric Aubanel,University of New Brunswick
Eric Bach,University of Wisconsin - Madison
Eric Baumer,Lehigh University
Eric Blais,University of Waterloo
Eric C. McCreath,Australian National University
Eric C. R. Hehner,University of Toronto
Eric D. Ragan,Texas A&M University
Eric Dinet,Université Jean Monnet
Eric Dubois 0002,University of Ottawa
Eric E. Aubanel,University of New Brunswick
Eric Fleury,Ecole Normale Superieure de Lyon
Eric Fosler,Ohio State University
Eric Fosler-Lussier,Ohio State University
Eric G. Mercer,Brigham Young University
Eric Gilbert,Georgia Institute of Technology
Eric Granger,ETS Montreal
Eric Harley,Ryerson University
Eric J. Pauwels,CWI
Eric K. Ringger,Brigham Young University
Eric Keller,University of Colorado Boulder
Eric Koskinen,Stevens Institute of Technology
Eric Lo,Chinese University of Hong Kong
Eric Martin 0002,UNSW
Eric McCreath,Australian National University
Eric Mercer,Brigham Young University
Eric Mjolsness,University of California - Irvine
Eric Monteiro,Norwegian University of Science and Technology
Eric Neufeld,University of Saskatchewan
Eric Nyberg,Carnegie Mellon University
Eric Osterweil,George Mason University
Eric P. S. Baumer,Lehigh University
Eric P. Xing,Carnegie Mellon University
Eric Patterson,Clemson University
Eric Paulos,University of California - Berkeley
Eric Po Xing,Carnegie Mellon University
Eric Price,University of Texas at Austin
Eric Roberts,Stanford University
Eric Rozier,Iowa State University
Eric Rozner,University of Colorado Boulder
Eric Ruppert,York University
Eric S. K. Yu,University of Toronto
Eric Steegmans,KU Leuven
Eric Thierry,Ecole Normale Superieure de Lyon
Eric Torng,Michigan State University
Eric Van Wyk,University of Minnesota
Eric Vigoda,Georgia Institute of Technology
Eric Walkingshaw,Oregon State University
Eric William Davis Rozier,Iowa State University
Eric Wustrow,University of Colorado Boulder
Erich Grädel,RWTH Aachen
Erich P. Ippen,Massachusetts Institute of Technology
Erickson R. Nascimento,UFMG
Erickson R. do Nascimento,UFMG
Erickson Rangel do Nascimento,UFMG
Erik Andersen,Cornell University
Erik B. Sudderth,University of California - Irvine
Erik Brunvand,University of Utah
Erik Cambria,Nanyang Technological University
Erik D. Demaine,Massachusetts Institute of Technology
Erik Frøkjær,University of Copenhagen
Erik G. Learned-Miller,University of Massachusetts Amherst
Erik G. Miller,University of Massachusetts Amherst
Erik Gundersen Miller,University of Massachusetts Amherst
Erik P. de Vink,TU Eindhoven
