,area,conf,institution,name,numauthors,number,pageCount,startPage,title,volume,year,region,from_hessen
12406,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,588,Poselet Conditioned Pictorial Structures.,0,2013,europe,False
12407,iccv,ICCV,Max Planck Institute,Bernt Schiele,5,0,8,3527,"A Unified Video Segmentation Benchmark: Annotation, Metrics and Analysis.",0,2013,europe,False
12408,iccv,ICCV,Max Planck Institute,Bernt Schiele,6,0,8,1049,Learning People Detectors for Tracking in Crowded Scenes.,0,2013,europe,False
12409,iccv,ICCV,Max Planck Institute,Bernt Schiele,4,0,8,3487,Strong Appearance and Expressive Spatial Models for Human Pose Estimation.,0,2013,europe,False
12410,iccv,ICCV,Max Planck Institute,Bernt Schiele,6,0,8,433,Translating Video Content to Natural Language Descriptions.,0,2013,europe,False
12411,nips,NIPS,Max Planck Institute,Bernt Schiele,3,0,9,46,Transfer Learning in a Transductive Setting.,0,2013,europe,False
12412,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,3686,2D Human Pose Estimation: New Benchmark and State of the Art Analysis.,0,2014,europe,False
12413,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,8,1669,3D Pictorial Structures for Multiple Human Pose Estimation.,0,2014,europe,False
12414,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,8,1434,Scalable Multitask Representation Learning for Scene Classification.,0,2014,europe,False
12415,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,8,49,Spectral Graph Reduction for Efficient Image and Streaming Video Segmentation.,0,2014,europe,False
12416,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,11,3202,A dataset for Movie Description.,0,2015,europe,False
12417,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,951,Classifier based graph construction for video segmentation.,0,2015,europe,False
12418,cvpr,CVPR,Max Planck Institute,Bernt Schiele,9,0,9,3810,Efficient ConvNet-based marker-less motion capture in general scenes with a low number of cameras.,0,2015,europe,False
12419,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,10,2927,Evaluation of output embeddings for fine-grained image classification.,0,2015,europe,False
12420,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,10,1751,Filtered channel features for pedestrian detection.,0,2015,europe,False
12421,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,9,5033,Subgraph decomposition for multi-target tracking.,0,2015,europe,False
12422,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,4073,Taking a deeper look at pedestrians.,0,2015,europe,False
12423,iccv,ICCV,Max Planck Institute,Bernt Schiele,4,0,9,3862,Person Recognition in Personal Photo Collections.,0,2015,europe,False
12424,iccv,ICCV,Max Planck Institute,Bernt Schiele,2,0,9,1296,Scalable Nonlinear Embeddings for Semantic Category-Based Image Retrieval.,0,2015,europe,False
12425,nips,NIPS,Max Planck Institute,Bernt Schiele,4,0,9,1189,Efficient Output Kernel Learning for Multiple Tasks.,0,2015,europe,False
12426,nips,NIPS,Max Planck Institute,Bernt Schiele,3,0,9,325,Top-k Multiclass SVM.,0,2015,europe,False
12427,cvpr,CVPR,Max Planck Institute,Bernt Schiele,7,0,9,4929,DeepCut: Joint Subset Partition and Labeling for Multi Person Pose Estimation.,0,2016,europe,False
12428,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,9,1259,How Far are We from Solving Pedestrian Detection?,0,2016,europe,False
12429,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,9,69,Latent Embeddings for Zero-Shot Classification.,0,2016,europe,False
12430,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,49,Learning Deep Representations of Fine-Grained Visual Descriptions.,0,2016,europe,False
12431,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,10,1468,Loss Functions for Top-k Error: Analysis and Insights.,0,2016,europe,False
12432,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,59,Multi-cue Zero-Shot Learning with Strong Supervision.,0,2016,europe,False
12433,cvpr,CVPR,Max Planck Institute,Bernt Schiele,9,0,11,3213,The Cityscapes Dataset for Semantic Urban Scene Understanding.,0,2016,europe,False
12434,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,10,183,Weakly Supervised Object Boundaries.,0,2016,europe,False
12435,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,5,0,18,817,Grounding of Textual Phrases in Images by Reconstruction.,0,2016,europe,False
12436,eccv,ECCV (3),Max Planck Institute,Bernt Schiele,4,0,17,19,Faceless Person Recognition: Privacy Implications in Social Media.,0,2016,europe,False
12437,eccv,ECCV (4),Max Planck Institute,Bernt Schiele,6,0,17,3,Generating Visual Explanations.,0,2016,europe,False
12438,eccv,ECCV (6),Max Planck Institute,Bernt Schiele,5,0,17,34,"DeeperCut: A Deeper, Stronger, and Faster Multi-person Pose Estimation Model.",0,2016,europe,False
12439,icml,ICML,Max Planck Institute,Bernt Schiele,6,0,10,1060,Generative Adversarial Text to Image Synthesis.,0,2016,europe,False
12441,nips,NIPS,Max Planck Institute,Bernt Schiele,6,0,9,217,Learning What and Where to Draw.,0,2016,europe,False
12443,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,10,435,A Domain Based Approach to Social Relation Recognition.,0,2017,europe,False
12444,cvpr,CVPR,Max Planck Institute,Bernt Schiele,7,0,9,1293,ArtTrack: Articulated Multi-Person Tracking in the Wild.,0,2017,europe,False
12445,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,9,4457,CityPersons: A Diverse Dataset for Pedestrian Detection.,0,2017,europe,False
12446,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,10,5038,Exploiting Saliency for Object Segmentation from Image Level Labels.,0,2017,europe,False
12448,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,11,4196,Generating Descriptions with Grounded and Co-referenced People.,0,2017,europe,False
12449,cvpr,CVPR,Max Planck Institute,Bernt Schiele,10,0,9,1904,"Joint Graph Decomposition & Node Labeling: Problem, Algorithms, Applications.",0,2017,europe,False
12450,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,9,6469,Learning Non-maximum Suppression.,0,2017,europe,False
12451,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,10,3491,Learning Video Object Segmentation from Static Images.,0,2017,europe,False
12452,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,3701,Multiple People Tracking by Lifted Multicut and Person Re-identification.,0,2017,europe,False
12453,cvpr,CVPR,Max Planck Institute,Bernt Schiele,5,0,10,1665,Simple Does It: Weakly Supervised Instance and Semantic Segmentation.,0,2017,europe,False
12454,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,10,3077,"Zero-Shot Learning - The Good, the Bad and the Ugly.",0,2017,europe,False
12455,iccv,ICCV,Max Planck Institute,Bernt Schiele,3,0,10,1491,Adversarial Image Perturbation for Privacy Protection A Game Theory Perspective.,0,2017,europe,False
12456,iccv,ICCV,Max Planck Institute,Bernt Schiele,5,0,10,4155,Speaking the Same Language: Matching Machine to Human Captions by Adversarial Training.,0,2017,europe,False
12457,iccv,ICCV,Max Planck Institute,Bernt Schiele,3,0,10,3706,Towards a Visual Privacy Advisor: Understanding and Predicting Privacy Risks in Images.,0,2017,europe,False
12458,nips,NIPS,Max Planck Institute,Bernt Schiele,6,0,11,405,Pose Guided Person Image Generation.,0,2017,europe,False
12459,aaai,AAAI,Max Planck Institute,Bernt Schiele,4,0,10,2720,Long-Term Image Boundary Prediction.,0,2018,europe,False
12460,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,9,8485,"Accurate and Diverse Sampling of Sequences Based on a ""Best of Many"" Sample Objective.",0,2018,europe,False
12461,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,10,8466,Connecting Pixels to Privacy and Utility: Automatic Redaction of Private Information in Images.,0,2018,europe,False
12462,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,10,99,Disentangled Person Image Generation.,0,2018,europe,False
12463,cvpr,CVPR,Max Planck Institute,Bernt Schiele,4,0,10,5542,Feature Generating Networks for Zero-Shot Learning.,0,2018,europe,False
12464,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,9,4194,Long-Term On-Board Prediction of People in Traffic Scenes Under Uncertainty.,0,2018,europe,False
12465,cvpr,CVPR,Max Planck Institute,Bernt Schiele,7,0,10,8779,Multimodal Explanations: Justifying Decisions and Pointing to the Evidence.,0,2018,europe,False
12466,cvpr,CVPR,Max Planck Institute,Bernt Schiele,6,0,10,5050,Natural and Effective Obfuscation by Head Inpainting.,0,2018,europe,False
12467,cvpr,CVPR,Max Planck Institute,Bernt Schiele,3,0,9,6995,Occluded Pedestrian Detection Through Guided Attention in CNNs.,0,2018,europe,False
12468,cvpr,CVPR,Max Planck Institute,Bernt Schiele,7,0,10,5167,PoseTrack: A Benchmark for Human Pose Estimation and Tracking.,0,2018,europe,False
12469,eccv,ECCV (1),Max Planck Institute,Bernt Schiele,6,0,17,570,A Hybrid Model for Identity Obfuscation by Face Replacement.,0,2018,europe,False
12470,eccv,ECCV (16),Max Planck Institute,Bernt Schiele,3,0,16,422,Diverse Conditional Image Generation by Stochastic Regression with Latent Drop-Out Codes.,0,2018,europe,False
12471,nips,NeurIPS,Max Planck Institute,Bernt Schiele,3,0,11,7717,Adversarial Scene Editing: Automatic Object Removal from Weak Supervision.,0,2018,europe,False
17881,cvpr,CVPR,Max Planck Institute,Christian Theobalt,4,0,-1,-1,Marker-less Deformable Mesh Tracking for Human Shape and Motion Capture.,0,2007,europe,False
17883,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,-1,-1,Dense correspondence finding for parametrization-free animation reconstruction from video.,0,2008,europe,False
17884,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,-1,-1,Robust fusion of dynamic shape and normal capture for high-quality reconstruction of time-varying geometry.,0,2008,europe,False
17886,cvpr,CVPR,Max Planck Institute,Christian Theobalt,4,0,8,343,LidarBoost: Depth superresolution for ToF 3D shape scanning.,0,2009,europe,False
17887,cvpr,CVPR,Max Planck Institute,Christian Theobalt,6,0,8,1746,Motion capture using joint skeleton tracking and surface estimation.,0,2009,europe,False
17889,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,8,1173,3D shape scanning with a time-of-flight camera.,0,2010,europe,False
17890,cvpr,CVPR,Max Planck Institute,Christian Theobalt,6,0,8,215,Optimal HDR reconstruction with linear digital cameras.,0,2010,europe,False
17891,eccv,ECCV (4),Max Planck Institute,Christian Theobalt,6,0,14,568,"Joint Estimation of Motion, Structure and Geometry from Stereo Sequences.",0,2010,europe,False
17894,cvpr,CVPR,Max Planck Institute,Christian Theobalt,4,0,8,969,High-quality shape from multi-view stereo and shading under general illumination.,0,2011,europe,False
17895,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,8,1249,Markerless motion capture of interacting characters using multi-view image segmentation.,0,2011,europe,False
17896,iccv,ICCV,Max Planck Institute,Christian Theobalt,5,0,8,1092,A data-driven approach for real-time full body pose reconstruction from a depth camera.,0,2011,europe,False
17897,iccv,ICCV,Max Planck Institute,Christian Theobalt,5,0,8,951,Fast articulated motion tracking using a sums of Gaussians body model.,0,2011,europe,False
17898,iccv,ICCV,Max Planck Institute,Christian Theobalt,5,0,8,1108,Shading-based dynamic shape refinement from multi-view video under general illumination.,0,2011,europe,False
17900,cvpr,CVPR,Max Planck Institute,Christian Theobalt,6,0,8,1870,Spatio-temporal motion tracking with unsynchronized cameras.,0,2012,europe,False
17901,eccv,ECCV (1),Max Planck Institute,Christian Theobalt,5,0,14,682,Background Inpainting for Videos with Dynamic Objects and a Free-Moving Camera.,0,2012,europe,False
17902,eccv,ECCV (1),Max Planck Institute,Christian Theobalt,5,0,14,272,Match Graph Construction for Large Image Databases.,0,2012,europe,False
17903,eccv,ECCV (2),Max Planck Institute,Christian Theobalt,6,0,14,828,Performance Capture of Interacting Characters with Handheld Kinects.,0,2012,europe,False
17904,eccv,ECCV (4),Max Planck Institute,Christian Theobalt,3,0,14,757,Full Body Performance Capture under Uncontrolled and Varying Illumination: A Shading-Based Approach.,0,2012,europe,False
17907,iccv,ICCV,Max Planck Institute,Christian Theobalt,3,0,8,881,Curvature-Aware Regularization on Riemannian Submanifolds.,0,2013,europe,False
17909,iccv,ICCV,Max Planck Institute,Christian Theobalt,4,0,8,1105,Real-Time Body Tracking with One Depth Camera and Inertial Sensors.,0,2013,europe,False
17915,cvpr,CVPR,Max Planck Institute,Christian Theobalt,6,0,8,4217,Automatic Face Reenactment.,0,2014,europe,False
17920,cvpr,CVPR,Max Planck Institute,Christian Theobalt,4,0,9,5473,Local high-order regularization on data manifolds.,0,2015,europe,False
17921,cvpr,CVPR,Max Planck Institute,Christian Theobalt,4,0,9,2188,Semi-supervised learning with explicit relationship regularization.,0,2015,europe,False
17923,iccv,ICCV,Max Planck Institute,Christian Theobalt,4,0,9,2776,Context-Guided Diffusion for Label Propagation on Graphs.,0,2015,europe,False
17927,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,9,2387,Face2Face: Real-Time Face Capture and Reenactment of RGB Videos.,0,2016,europe,False
17930,eccv,ECCV (8),Max Planck Institute,Christian Theobalt,5,0,18,362,VolumeDeform: Real-Time Volumetric Non-rigid Reconstruction.,0,2016,europe,False
17936,iccv,ICCV,Max Planck Institute,Christian Theobalt,7,0,10,3735,MoFA: Model-Based Deep Convolutional Face Autoencoder for Unsupervised Monocular Reconstruction.,0,2017,europe,False
17937,iccv,ICCV,Max Planck Institute,Christian Theobalt,6,0,10,1163,Real-Time Hand Tracking under Occlusion from an Egocentric RGB-D Sensor.,0,2017,europe,False
17939,cvpr,CVPR,Max Planck Institute,Christian Theobalt,3,0,10,4310,DS*: Tighter Lifting-Free Convex Relaxations for Quadratic Matching Problems.,0,2018,europe,False
17940,cvpr,CVPR,Max Planck Institute,Christian Theobalt,7,0,11,49,GANerated Hands for Real-Time 3D Hand Tracking From Monocular RGB.,0,2018,europe,False
17943,cvpr,CVPR,Max Planck Institute,Christian Theobalt,7,0,11,2549,Self-Supervised Multi-Level Face Model Learning for Monocular Reconstruction at Over 250 Hz.,0,2018,europe,False
17944,cvpr,CVPR,Max Planck Institute,Christian Theobalt,5,0,11,8387,Video Based Reconstruction of 3D People Models.,0,2018,europe,False
18260,ijcai,IJCAI,Max Planck Institute,Christoph Weidenbach,1,0,6,60,Extending the Resolution Method with Sorts.,0,1993,europe,False
32790,cvpr,CVPR,Max Planck Institute,Eugene W. Myers,5,0,10,5926,Moral Lineage Tracing.,0,2016,europe,False
37031,kdd,KDD,Max Planck Institute,Gerhard Weikum,3,0,6,712,Combining linguistic and statistical analysis to extract relations from web documents.,0,2006,europe,False
37037,www,WWW,Max Planck Institute,Gerhard Weikum,3,0,10,697,Yago: a core of semantic knowledge.,0,2007,europe,False
37039,kdd,KDD,Max Planck Institute,Gerhard Weikum,3,0,9,354,Fast logistic regression for text categorization with variable-length n-grams.,0,2008,europe,False
37048,www,WWW,Max Planck Institute,Gerhard Weikum,3,0,10,631,SOFIE: a self-organizing framework for information extraction.,0,2009,europe,False
37055,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,9,0,11,782,Robust Disambiguation of Named Entities in Text.,0,2011,europe,False
37056,emnlp,EMNLP-CoNLL,Max Planck Institute,Gerhard Weikum,3,0,11,149,A Weakly Supervised Model for Sentence-Level Semantic Orientation Analysis with Multiple Experts.,0,2012,europe,False
37057,emnlp,EMNLP-CoNLL,Max Planck Institute,Gerhard Weikum,6,0,12,379,Natural Language Questions for the Web of Data.,0,2012,europe,False
37058,emnlp,EMNLP-CoNLL,Max Planck Institute,Gerhard Weikum,3,0,11,1135,PATTY: A Taxonomy of Relational Patterns with Semantic Types.,0,2012,europe,False
37059,acl,ACL (1),Max Planck Institute,Gerhard Weikum,3,0,10,1488,Fine-grained Semantic Typing of Emerging Entities.,0,2013,europe,False
37063,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,3,0,12,374,Werdy: Recognition and Disambiguation of Verbs and Verb Phrases with Syntactic and Semantic Pruning.,0,2014,europe,False
37066,www,WWW,Max Planck Institute,Gerhard Weikum,3,0,12,385,Discovering emerging entities with ambiguous names.,0,2014,europe,False
37067,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,2,0,11,846,C3EL: A Joint Model for Cross-Document Co-Reference Resolution and Entity Linking.,0,2015,europe,False
37068,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,4,0,11,868,FINET: Context-Aware Fine-Grained Named Entity Typing.,0,2015,europe,False
37069,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,5,0,11,971,RELLY: Inferring Hypernym Relationships Between Relational Phrases.,0,2015,europe,False
37070,aaai,AAAI,Max Planck Institute,Gerhard Weikum,6,0,8,243,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags.,0,2016,europe,False
37071,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,2,0,10,2183,POLY: Mining Relational Paraphrases from Multilingual Sentences.,0,2016,europe,False
37072,ijcai,IJCAI,Max Planck Institute,Gerhard Weikum,4,0,7,3896,KOGNAC: Efficient Encoding of Large Knowledge Graphs.,0,2016,europe,False
37073,kdd,KDD,Max Planck Institute,Gerhard Weikum,3,0,10,1075,Continuous Experience-aware Language Model.,0,2016,europe,False
37075,www,WWW,Max Planck Institute,Gerhard Weikum,4,0,11,915,As Time Goes By: Comprehensive Tagging of Textual Phrases with Temporal Scopes.,0,2016,europe,False
37078,www,WWW,Max Planck Institute,Gerhard Weikum,4,0,10,1191,Automated Template Generation for Question Answering over Knowledge Graphs.,0,2017,europe,False
37079,www,WWW,Max Planck Institute,Gerhard Weikum,3,0,10,805,Distilling Task Knowledge from How-To Communities.,0,2017,europe,False
37080,acl,ACL (2),Max Planck Institute,Gerhard Weikum,5,0,6,241,A Study of the Importance of External Knowledge in the Named Entity Recognition Task.,0,2018,europe,False
37081,acl,ACL (2),Max Planck Institute,Gerhard Weikum,5,0,8,686,diaNED: Time-Aware Named Entity Disambiguation for Diachronic Corpora.,0,2018,europe,False
37082,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,4,0,11,22,DeClarE: Debunking Fake News and False Claims using Evidence-Aware Deep Learning.,0,2018,europe,False
37083,emnlp,EMNLP,Max Planck Institute,Gerhard Weikum,3,0,6,1043,Facts That Matter.,0,2018,europe,False
37085,www,WWW,Max Planck Institute,Gerhard Weikum,3,0,10,1013,HighLife: Higher-arity Fact Harvesting.,0,2018,europe,False
37086,www,WWW,Max Planck Institute,Gerhard Weikum,4,0,10,1053,Never-Ending Learning for Open-Domain Question Answering over Knowledge Bases.,0,2018,europe,False
37326,nips,NeurIPS,Max Planck Institute,Gilles Barthe,3,0,11,6280,Privacy Amplification by Subsampling: Tight Analyses via Couplings and Divergences.,0,2018,europe,False
40724,cvpr,CVPR (2),Max Planck Institute,Hans-Peter Seidel,3,0,8,1825,Mesostructure from Specularity.,0,2006,europe,False
40730,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,4,0,-1,-1,Polarization and Phase-Shifting for 3D Scanning of Translucent Objects.,0,2007,europe,False
40731,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,3,0,-1,-1,Scaled Motion Dynamics for Markerless Motion Capture.,0,2007,europe,False
40732,iccv,ICCV,Max Planck Institute,Hans-Peter Seidel,3,0,8,1,Fitting a Morphable Model to 3D Scans of Faces.,0,2007,europe,False
40735,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,5,0,-1,-1,Demosaicing by smoothing along 1D features.,0,2008,europe,False
40737,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,3,0,-1,-1,Drift-free tracking of rigid and articulated objects.,0,2008,europe,False
40739,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,3,0,-1,-1,Modulated phase-shifting for 3D scanning.,0,2008,europe,False
40752,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,5,0,8,1185,Isometric registration of ambiguous and partial data.,0,2009,europe,False
40753,cvpr,CVPR,Max Planck Institute,Hans-Peter Seidel,6,0,8,224,Markerless Motion Capture with unsynchronized moving cameras.,0,2009,europe,False
